DATEAPRECV,DCSTAT,KEYVAL,OBJECTID,PROPOSAL,REFVAL,PROPNO,CREATEDBY,MODIFIEDBY,DATE_CREATED,DATE_MODIFIED,STATUS,TRANSACTION_TYPE,SYMBOL,MAP_AREA,X,Y,DECSN,OFFCODE,DCAPPTYP,DCAREATM,DATEAPVAL,MAP_X,MAP_Y,LATITUDE,LONGITUDE,SE_ANNO_CAD_DATA,DCPREAPP
2025/02/12 00:00:00+00,NOB,SRKXZFSJLJ000,12649838,Prune back 1no. Lime tree to provide 2 metres clearance to the building - tree works in a Conservation Area,25/00269/TCA,0024HLSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/17 09:08:48+00,2025/02/17 09:08:48+00,1,NONE,1,1664.43714887,460899,449857,NOB,MSTUBB,TCA,GREEN,2025/02/12 00:00:00+00,460899,449857,53.9412510968582,-1.07375509166196,,F
2025/02/14 00:00:00+00,REF,SRO6M0SJLK400,12649839,Non-material amendment to permitted application 16/01241/FUL to amend description of development and alter condition 1 to allow retention of modular buildings until 01.08.2028,25/00284/NONMAT,000NQHSJBU000,lharrisonEVALUATION,lharrisonEVALUATION,2025/02/14 11:52:29+00,2025/02/14 11:52:29+00,1,NONE,1,940.43942105,460499,452546,REF,SP,NONMAT,EAST,2025/02/14 00:00:00+00,460499,452546,53.9654627722988,-1.07931576283578,,F
2025/02/14 00:00:00+00,HAPP,SRO6MZSJLK800,12649840,Single storey rear extension following demolition of detached garage,25/00286/FUL,001QCBSJBU000,lharrisonEVALUATION,lharrisonEVALUATION,2025/02/14 11:29:24+00,2025/02/14 11:29:51+00,1,NONE,1,200.93824277,456555,450958,HAPP,SFRANC,FUL,WEST,2025/02/17 00:00:00+00,456555,450958,53.9516373266934,-1.13971928716477,,F
2025/02/14 00:00:00+00,REF,SRO6MKSJLK600,12649841,Non-material amendment to permitted application 17/01124/FUL to amend description of development and alter condition 1 to allow retention of modular buildings until 01.08.2028,25/00285/NONMAT,000NQHSJBU000,lharrisonEVALUATION,lharrisonEVALUATION,2025/02/14 13:30:37+00,2025/02/14 13:30:37+00,1,NONE,1,940.43942105,460499,452546,REF,SP,NONMAT,EAST,2025/02/14 00:00:00+00,460499,452546,53.9654627722988,-1.07931576283578,,F
2025/02/13 00:00:00+00,NOC,SRM3PDSJLJD00,12649842,Fell 1no. Beech tree- prune back 4no. trees to provide up to 3 metres clearance from property - protected by Tree Preservation Order no. CYC277,25/00274/TPO,0022YUSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/17 09:23:12+00,2025/02/17 09:23:12+00,1,NONE,1,3787.44400217,459024,451202,NOC,MSTUBB,TPO,GREEN,2025/02/13 00:00:00+00,459024,451202,53.9535548774494,-1.10205528866635,,F
2025/02/13 00:00:00+00,NOB,SRTMHUSJ0FL00,12649843,Fell 1no. Sycamore tree in a Conservation Area,25/00290/TCA,0022YUSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/17 09:45:28+00,2025/02/17 09:45:28+00,1,NONE,1,3787.44400217,459024,451202,NOB,MSTUBB,TCA,GREEN,2025/02/13 00:00:00+00,459024,451202,53.9535548774494,-1.10205528866635,,F
2025/02/14 00:00:00+00,WDN,SRONCTSJLKI00,12649844,Erection of 1no. dwelling to rear with associated vehicular access,25/00289/FUL,001RHNSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/17 11:54:20+00,2025/02/17 11:54:20+00,1,NONE,1,1869.67445059,464088,460692,WDN,EMAT,FUL,EAST,2025/02/17 00:00:00+00,464088,460692,54.0382340556567,-1.02290541667908,,F
2025/02/13 00:00:00+00,NOC,SRMBXQSJLJG00,12649845,Fell 2no. Silver Birch trees- draw back crown of 2no. Sycamores and 2no. Holly trees to boundary - protected by Tree Preservation Order no. 23,25/00276/TPO,0022QBSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/17 11:06:48+00,2025/02/17 11:06:48+00,1,NONE,1,258.32852395,457228,452853,NOC,MSTUBB,TPO,GREEN,2025/02/13 00:00:00+00,457228,452853,53.9685932290906,-1.12911083604184,,F
2025/02/14 00:00:00+00,NOC,SROEY4SJLKB00,12649846,Draw back one limb from 1no. Lime tree up to 2 metres away from neighbouring property - protected by Tree Preservation Order no. 7/1980,25/00288/TPO,000VUDSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/18 09:06:44+00,2025/02/18 09:06:44+00,1,NONE,1,687.91785881,459637,447597,NOC,MSTUBB,TPO,GREEN,2025/02/14 00:00:00+00,459637,447597,53.9210879641833,-1.09341783189539,,F
2025/02/06 00:00:00+00,REF,SR9TXSSJLFB00,12649859,External works comprising display of 2no. externally illuminated fascia signs and window vinyls,25/00221/LBC,001X6ZSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/07 10:33:46+00,2025/02/07 10:33:46+00,1,NONE,1,383.8640995,460294,451646,REF,TSCARS,LBC,EAST,2025/02/07 00:00:00+00,460294,451646,53.9573987652352,-1.08261764204459,,F
2025/02/12 00:00:00+00,NOB,SS0VTTSJ0FL00,12649860,Remove co-dominant stem from 1no. Tree in a Conservation Area,25/00341/TCA,0007ISSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/21 07:47:03+00,2025/02/21 07:47:03+00,1,NONE,1,99.10616353,463249,460602,NOB,MSTUBB,TCA,GREEN,2025/02/12 00:00:00+00,463249,460602,54.0375286562682,-1.03573314845194,,F
2025/02/26 00:00:00+00,HAPP,SSA6AKSJLQE00,12649861,Conversion of garage to living accommodation,25/00385/FUL,K3U3WUSJ05Y00,jbarnettDCDC,jbarnettDCDC,2025/02/26 12:19:46+00,2025/02/26 12:19:46+00,1,NONE,1,187.61878077,457430,450804,HAPP,SFRANC,FUL,WEST,2025/03/10 00:00:00+00,457430,450804,53.9501572016082,-1.12641690936714,,F
2025/03/07 00:00:00+00,HAPP,SSRJALSJLVE00,12649862,First floor side extension,25/00466/FUL,001D1BSJBU000,lharrisonDC2,lharrisonDC2,2025/03/10 09:03:37+00,2025/03/10 09:03:37+00,1,NONE,1,404.3475,460337,458276,HAPP,SFRANC,FUL,WEST,2025/03/10 00:00:00+00,460337.1763626,458276.21679014,54.0169762781234,-1.0806487310419,,F
2025/03/12 00:00:00+00,INVNOD,ST0BWMSJLXK00,12649863,Non-material amendment to permitted application 24/00645/FUL for the reduction in overall footprint of the proposed dwelling,25/00492/NONMAT,001DYGSJBU000,lharrisonDC2,lharrisonDC2,2025/03/13 15:04:51+00,2025/03/13 15:04:51+00,1,NONE,1,401.1797,463047,460643,INVNOD,SJ,NONMAT,EAST,,463046.57918597,460642.64767432,54.0379186639983,-1.03881503557299,,F
2025/03/11 00:00:00+00,PER,SSYY4ASJLWX00,12649864,Erection of 2no. dwellings (use class C3) with associated parking and landscaping following demolition of workshop,25/00484/FUL,000SUCSJBU000,lharrisonDC2,lharrisonDC2,2025/03/13 15:42:10+00,2025/03/13 15:42:10+00,1,NONE,1,2810.71682996,461960,455487,PER,ORICHA,FUL,EAST,2025/03/12 00:00:00+00,461959.97497516,455486.89413797,53.9917183804543,-1.05645287926734,,F
2025/03/12 00:00:00+00,CER,ST03SQSJLXE00,12649865,Certificate of lawfulness for use as House in Multiple Occupation (use class C4) with 3 occupants.,25/00490/CLU,001VF8SJBU000,lharrisonDC2,lharrisonDC2,2025/03/13 15:57:22+00,2025/03/13 15:57:22+00,1,NONE,1,66.0344,460027,452993,CER,SFRANC,CLU,WEST,2025/03/20 00:00:00+00,460026.64143962,452993.42517668,53.9695385166662,-1.08642689422652,,F
2025/03/11 00:00:00+00,PER,SSYY68SJLX900,12649866,"Installation of 620no. roof mounted solar panels with a total installed capacity of 279kWp under the Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 14, Class J",25/00489/SOLAR,001W95SJBU000,lharrisonDC2,lharrisonDC2,2025/03/13 16:19:02+00,2025/03/13 16:19:02+00,1,NONE,1,9943.81470647,458330,448521,PER,SP,SOLAR,WEST,2025/03/11 00:00:00+00,458329.74511171,448520.54339129,53.929536111245,-1.11314434985846,,F
2025/03/13 00:00:00+00,PER,ST1YAGSJLY400,12649867,Resurfacing of farm yard,25/00495/FUL,000LUMSJBU000,lharrisonDC2,lharrisonDC2,2025/03/13 16:41:53+00,2025/03/13 16:44:52+00,1,NONE,1,926.11528345,456735,445371,PER,EPOT,FUL,WEST,2025/03/14 00:00:00+00,456734.66854244,445370.60626467,53.9014052296063,-1.13801680176638,,F
2025/03/14 00:00:00+00,PER,ST41BHSJLZ700,12649868,Internal and external works to include installation of 1no. plant unit and ducting following removal of existing 4no. redundant units,25/00517/LBC,000VBBSJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 09:21:31+00,2025/03/17 09:21:31+00,1,NONE,1,258.7566375,460448,451977,PER,ORICHA,LBC,EAST,2025/03/17 00:00:00+00,460448.36500749,451977.24179647,53.9603575087399,-1.08019997419863,,F
2025/04/16 00:00:00+00,REF,SUT2HUSJMGX00,12649874,Non-material amendment to permitted application 21/01605/FULM to alter landscaping scheme approved under condition 17.,25/00794/NONMAT,0020LQSJBU000,jbarnettDC2,jbarnettDC2,2025/04/17 09:45:50+00,2025/04/17 09:45:50+00,1,NONE,1,3931.30145136,460705,451037,REF,JKENYO,NONMAT,EAST,2025/04/16 00:00:00+00,460704.72404337,451036.95739377,53.9518776343389,-1.07648009488836,,F
2025/04/25 00:00:00+00,WDN,SV9QI7SJMKQ00,12649875,Variation of conditions no.2 (approved plans) and condition no.18 (car and cycle parking) of the permitted application 23/02174/FUL to substitute the approved double garage building for the dwelling known as Ouseburn House and transfer for the garage into the curtilage of approved house type plot 1.,25/00837/FUL,001W3HSJBU000,lharrisonDC2,lharrisonDC2,2025/04/25 12:42:58+00,2025/04/25 12:42:58+00,1,NONE,1,6051.93262168,460809,449954,WDN,SJ,FUL,EAST,2025/06/05 00:00:00+00,460809.16868816,449953.82408377,53.9421317532219,-1.07510413820348,,F
2025/04/25 00:00:00+00,NOB,SVA1JMSJ0GB00,12649876,Notification under section 5 of The Electronic Communications Code (Conditions and Restrictions) Regulations 2003 for the following equipment- 1no. 9m pole.,25/00840/TCNOT,HPY0UHSJ10002,lharrisonDC2,lharrisonDC2,2025/04/25 14:03:53+00,2025/04/25 14:03:53+00,1,NONE,1,1.50055509,457893,451830,NOB,JKENYO,TCNOT,WEST,2025/04/25 00:00:00+00,457893.10261804,451830.22667701,53.9593280499845,-1.11916715155687,,F
2025/05/29 00:00:00+00,NOB,SX0SVOSJ0GB00,12649877,Notification under section 5 of The Electronic Communications Code (Conditions and Restrictions) Regulations 2003 for the following equipment- 2no. 9m pole adjacent 180 Shipton Road,25/01067/TCNOT,HPY0UVSJ10152,lharrisonDC2,lharrisonDC2,2025/05/29 11:24:17+00,2025/05/29 11:24:17+00,1,NONE,1,23.55871487,458017,454408,NOB,JKENYO,TCNOT,WEST,2025/05/29 00:00:00+00,458016.5888339,454408.12627733,53.9824808651114,-1.11679579598568,,F
2025/02/17 00:00:00+00,PCO,SRVGNVSJ0FL00,12649878,Fell 1no. Willow tree in a Conservation Area,25/00307/TCA,001RP4SJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/18 09:30:49+00,2025/02/18 09:30:49+00,1,NONE,1,1534.02347742,454982,448310,,MSTUBB,TCA,GREEN,2025/02/17 00:00:00+00,454982,448310,53.9280095009485,-1.16416101102772,,F
2025/02/14 00:00:00+00,NOB,SRVHSKSJ0FL00,12649879,Fell 1no. Conifer tree in a Conservation Area,25/00308/TCA,001VTTSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/18 09:57:16+00,2025/02/18 09:57:16+00,1,NONE,1,804.46469415,466672,452425,NOB,MSTUBB,TCA,GREEN,2025/02/14 00:00:00+00,466672,452425,53.9636179020241,-.985264059110077,,F
2025/02/17 00:00:00+00,NOB,SRU7BXSJLLH00,12649880,Extension to straw storage barn,25/00304/AGNOT,HY9MRHSJ20000,jbarnettDCDC,jbarnettDCDC,2025/02/18 10:55:22+00,2025/02/18 10:55:22+00,1,NONE,1,184.54342852,451554,453356,NOB,EPOT,AGNOT,WEST,2025/02/17 00:00:00+00,451554,453356,53.9737091296331,-1.21551037853488,,F
2025/02/17 00:00:00+00,NOB,SRU7BISJLLD00,12649881,Demolition of buildings,25/00302/DMNOT,SPGU3XSJ0FV00,jbarnettDCDC,jbarnettDCDC,2025/02/18 11:06:21+00,2025/02/18 11:06:21+00,1,NONE,1,942.20473126,460136,458547,NOB,EPOT,DMNOT,WEST,2025/02/17 00:00:00+00,460136,458547,54.0194330936974,-1.08366510557836,,F
2025/02/17 00:00:00+00,PER,SRU7A2SJLL900,12649882,Non-material amendment to permitted application 19/00246/FULM to alter bike and bin storage,25/00300/NONMAT,001444SJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/18 11:32:24+00,2025/02/18 11:32:24+00,1,NONE,1,17300.63006538,459908,452968,PER,EPOT,NONMAT,WEST,2025/02/17 00:00:00+00,459908,452968,53.9693237634179,-1.08824022805335,,F
2025/02/17 00:00:00+00,HAPP,SRTYXLSJLKS00,12649883,Erection of garden room to rear,25/00291/FUL,HX8GBFSJ60000,jbarnettDCDC,jbarnettDCDC,2025/02/18 11:53:00+00,2025/02/18 11:53:00+00,1,NONE,1,647.60121767,457755,452260,HAPP,SFRANC,FUL,WEST,2025/02/18 00:00:00+00,457755,452260,53.9632056789826,-1.12119042486396,,F
2025/02/17 00:00:00+00,REF,SRTYZ5SJLKW00,12649884,Change of use of dwelling (use class C3) to large House in Multiple Occupation (sui generis) for up to 8 occupants,25/00292/FUL,HUGIRDSJ20000,jbarnettDCDC,jbarnettDCDC,2025/02/18 12:17:02+00,2025/02/18 12:17:02+00,1,NONE,1,164.39082571,461514,453887,REF,KSTRET,FUL,EAST,2025/02/18 00:00:00+00,461514,453887,53.9773941619737,-1.06357652801707,,F
2025/02/19 00:00:00+00,HAPP,SRX7M4SJLM800,12649885,Single storey rear extension and dormer roof extension to rear facing roofslope,25/00316/FUL,00012KSJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/20 12:32:27+00,2025/02/20 12:32:27+00,1,NONE,1,105.25242694,460236,450672,HAPP,SFRANC,FUL,WEST,2025/02/20 00:00:00+00,460236,450672,53.9486525880872,-1.08369329688954,,F
2025/02/19 00:00:00+00,HAPP,SRX7O2SJLMD00,12649886,"Single storey rear extension, roof lights to front and rear roofslopes, and other elevational alterations to include render, revised fenestration and removal of chimney stack",25/00318/FUL,001JORSJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/20 12:47:31+00,2025/02/20 12:47:31+00,1,NONE,1,489.16250296,462779,452523,HAPP,ORICHA,FUL,EAST,2025/02/20 00:00:00+00,462779,452523,53.9649848680381,-1.04457220121988,,F
2025/02/19 00:00:00+00,HAPP,SRXFX9SJLMG00,12649887,Installation of an air source heat pump to rear,25/00319/FUL,000M6OSJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/20 13:00:16+00,2025/02/20 13:00:16+00,1,NONE,1,1571.8326411,457601,458845,HAPP,TSCARS,FUL,WEST,2025/03/10 00:00:00+00,457601,458845,54.0223996311328,-1.12229404747582,,F
2025/02/19 00:00:00+00,PER,SRXFXKSJLMI00,12649888,Change of use of retail shop (Class E) to drinking establishment and retail sale of alcohol (Sui Generis).,25/00320/FUL,000TLISJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/20 13:19:06+00,2025/02/20 13:19:06+00,1,NONE,1,269.51491462,461127,449818,PER,LCRIPP,FUL,EAST,2025/02/27 00:00:00+00,461127,449818,53.9408737991129,-1.07029004597177,,F
2025/02/19 00:00:00+00,PER,SRXWKQSJLMQ00,12649889,Non-material amendment to permitted application 24/01014/FUL to relocate substation to the east,25/00323/NONMAT,001AKNSJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/20 13:44:01+00,2025/02/20 13:44:01+00,1,NONE,1,3866.19548536,460168,458541,PER,EMAT,NONMAT,WEST,2025/02/19 00:00:00+00,460168,458541,54.0193754529947,-1.08317796010138,,F
2025/02/26 00:00:00+00,HAPP,SSA6C3SJLQM00,12649890,Single storey side extension,25/00389/FUL,0023FZSJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/26 12:13:43+00,2025/02/26 12:13:43+00,1,NONE,1,626.76469051,464034,461377,HAPP,AGALLI,FUL,EAST,2025/02/27 00:00:00+00,464034,461377,54.0443963537245,-1.02358559985386,,F
2025/03/17 00:00:00+00,HAPP,ST9CYJSJLZK00,12649900,"Two storey side extension, single storey rear extension, rear dormer, roof lights to side and front, and replacement porch",25/00524/FUL,001O9JSJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 09:57:37+00,2025/03/17 09:57:37+00,1,NONE,1,262.5075,459916,450505,HAPP,CWRIGH,FUL,WEST,2025/03/20 00:00:00+00,459916.259588,450504.60100185,53.9471852875569,-1.08859717540386,,F
2025/03/17 00:00:00+00,REF,ST9CZNSJLZN00,12649901,Erection of two storey building for Use Class E (e) medical and health services use following demolition of garage,25/00525/FUL,0028VJSJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 10:46:25+00,2025/03/17 10:46:25+00,1,NONE,1,78.26461284,461816,452708,REF,SP,FUL,EAST,2025/03/26 00:00:00+00,461816.02564207,452707.92397319,53.966762460203,-1.05921083251119,,F
2025/03/17 00:00:00+00,REF,ST9D1DSJLZP00,12649902,Change of use of agricultural building to 1no. dwelling (Use Class C3) under Class Q Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 (made under transitional provisions applicable before submission date of 20.05.2025),25/00526/ABC3,000EUUSJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 11:11:50+00,2025/03/17 11:11:50+00,1,NONE,1,408.21351622,458299,457240,REF,SP,ABC3,WEST,2025/04/03 00:00:00+00,458299.19884291,457239.97218303,54.0078977354421,-1.11194559458359,,F
2025/03/17 00:00:00+00,HAPP,ST9D1NSJLZR00,12649903,Single storey side/rear extension,25/00527/FUL,000AAISJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 11:36:32+00,2025/03/17 11:36:32+00,1,NONE,1,223.24011601,457469,451869,HAPP,LWARSA,FUL,WEST,2025/04/04 00:00:00+00,457469.37834833,451869.08893182,53.9597244433643,-1.12561678989186,,F
2025/03/17 00:00:00+00,HAPP,ST9D23SJLZT00,12649904,Erection of garage to front/side,25/00528/FUL,000AUYSJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 12:18:13+00,2025/03/17 12:18:13+00,1,NONE,1,252.548,460167,457763,HAPP,CWRIGH,FUL,WEST,2025/03/18 00:00:00+00,460166.85905699,457762.5600107,54.012380153522,-1.08334912527613,,F
2025/03/17 00:00:00+00,HAPP,ST9D2CSJLZV00,12649905,"Single storey rear extension, single storey side extension, rear and side dormers, and roof lights at the front roof slope.",25/00529/FUL,000BH2SJBU000,jbarnettDC2,jbarnettDC2,2025/03/17 12:40:19+00,2025/03/17 12:40:19+00,1,NONE,1,346.047302,459826,452703,HAPP,LWARSA,FUL,WEST,2025/03/27 00:00:00+00,459826.23467548,452703.25505283,53.9669540637892,-1.08953834387464,,F
2025/03/17 00:00:00+00,NOB,ST9SBWSJ0GB00,12649906,Notification under section 5 of The Electronic Communications Code (Conditions and Restrictions) Regulations 2003 for the following equipment- 1no. telegraph pole,25/00533/TCNOT,HPY0UPSJ10086,lharrisonDC2,lharrisonDC2,2025/03/17 13:39:09+00,2025/03/17 13:39:09+00,1,NONE,1,3.97647098,457205,452212,NOB,LWARSA,TCNOT,WEST,2025/03/17 00:00:00+00,457205.28525313,452212.38842554,53.9628387758311,-1.12957697900574,,F
2025/03/17 00:00:00+00,PER,ST9TMLSJM0600,12649907,Erection of 1no. dwelling to rear,25/00535/FUL,002C68SJBU000,lharrisonDC2,lharrisonDC2,2025/03/17 16:28:45+00,2025/03/17 16:28:45+00,1,NONE,1,4397.89798325,461384,455657,PER,TSCARS,FUL,EAST,2025/03/25 00:00:00+00,461384.17267389,455656.56275946,53.9933116986932,-1.06519979016126,,F
2025/03/17 00:00:00+00,HAPP,ST9TNTSJM0B00,12649908,Two storey side extension and single storey front/rear extensions following demolition of conservatory,25/00537/FUL,I8NSWXSJ20009,lharrisonDC2,lharrisonDC2,2025/03/17 17:11:34+00,2025/03/17 17:11:34+00,1,NONE,1,209.31125,458467,451128,HAPP,LWARSA,FUL,WEST,2025/04/03 00:00:00+00,458466.59795599,451127.87819091,53.9529519315435,-1.11056225221631,,F
2025/03/17 00:00:00+00,INVNOD,STA2MZSJ0GB00,12649909,Non-material amendment to permitted application 24/01756/FUL to replace door to proposed rear extension with 1no. window,25/00539/NONMAT,000FGDSJBU000,lharrisonDC2,lharrisonDC2,2025/03/17 17:25:20+00,2025/03/17 17:25:20+00,1,NONE,1,279.93490202,459382,451192,INVNOD,EPOT,NONMAT,WEST,,459381.70640416,451191.85594301,53.9534228684501,-1.09660712359588,,F
2025/03/21 00:00:00+00,REF,STHGMPSJM3E00,12649910,"Change of use from Commercial, Business and Service (use class E) to 1no. Dwellinghouse (use class C3) under The Town and Country Planning (General Permitted Development) Order 2015 (as amended) - Schedule 2, Part 3, Class MA",25/00583/ERC,00081VSJBU000,lharrisonDC2,lharrisonDC2,2025/03/24 09:18:17+00,2025/03/24 09:18:17+00,1,NONE,1,147.15336582,457454,452628,REF,TSCARS,ERC,WEST,2025/03/21 00:00:00+00,457454.40406618,452627.60766732,53.9665426529926,-1.12570238250702,,F
2025/03/24 00:00:00+00,HAPP,STMBOESJM3N00,12649911,First floor side extension,25/00584/FUL,001V9LSJBU000,lharrisonDC2,lharrisonDC2,2025/03/24 09:34:05+00,2025/03/24 09:34:05+00,1,NONE,1,331.788315,455903,454763,HAPP,TSCARS,FUL,WEST,2025/03/24 00:00:00+00,455903.01609477,454763.26019409,53.9859047853328,-1.14895656456075,,F
2025/02/11 00:00:00+00,HREF,SRIEFOSJLHP00,12649921,"Single storey rear extension, dormers to front and rear roofslopes and erection of detached annex building to rear",25/00242/FUL,002E2HSJBU000,lharrisonDCDC,jbarnettDCDC,2025/02/12 14:25:14+00,2025/02/20 08:58:00+00,1,NONE,1,225.80874372,459877,450728,HREF,TSCARS,FUL,WEST,2025/02/21 00:00:00+00,459877,450728,53.9491974181806,-1.0891515230541,,F
2025/02/17 00:00:00+00,NOC,SRTYZESJLKY00,12649922,Crown reduce 1no. Pear tree by maximum 1.5m from the top and 0.5m from the sides - protected by Tree Preservation Order no. 173/1991,25/00293/TPO,0006Z3SJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/20 09:59:30+00,2025/02/20 09:59:30+00,1,NONE,1,401.82972213,458163,453778,NOC,MSTUBB,TPO,GREEN,2025/02/17 00:00:00+00,458163,453778,53.9768017455119,-1.1146835133596,,F
